participant_id,kind,role,text,anchor_high,concession_plan,walkaway_threshold,relationship_tone,urgency_framing,value_justification,toughness,flexibility,orientation,anchor,threshold_stated,politeness_instructed,info_strategy,valence,topic
5b7df1f09fcd3c00011904a4,prompt,seller,"I am selling this car and I want you to negotiate firmly but within reason of a good sale. Start by holding close to my asking price of $25,500 and point out that the car is clean, no accidents, serviced at the dealer and updated parts. I'm moving soon and would like an easy sale, but don't want to sound desperate. I would like to get at least $24,000 or higher. If they offer below that, push back and can remind them of the decent pricing for it's condition and market range. You can accept $24,000 or more if the buyer seems serious and ready to close. If they offer between, $22,500 and $23,999, try hard to move them up first. Do not accept anything under $22,500. If they won't come up to at least that, go ahead and walk away.",True,True,True,False,True,True,True,True,mixed,high,yes,no,emphasize_value,,
610023887596a5c3c4c5c3cc,prompt,seller,"Do not sell below 24,000, be polite and also firm.",False,False,True,True,False,False,True,False,distributive,none,yes,yes,neutral,,
615567110b3d6e418c6add32,prompt,seller,"I want you to be clear about the original listed price, and that you'll only go lower in 500 increments until you have reached an agreement with them but I will only accept a haggled price of $22,500 and above.",True,True,True,False,False,False,True,False,distributive,high,yes,no,neutral,,
6400ed09421b2727c2f7c553,prompt,buyer,Start as low as possible. Don't be in a rush. Act like you can wait for a better deal if the price isn't right.,False,False,False,False,True,False,True,False,distributive,low,no,no,neutral,,
6403ce2f85c4bb26aff0de6e,prompt,buyer,"Be nice with the negotiations. I cannot buy for the full amount. I can only go up to 22,000.  That's my budget any higher would hurt me financially.
s",False,False,True,True,False,False,False,False,distributive,none,yes,yes,neutral,,
6761ae77a5a1601b74e8fe60,prompt,seller,"start high, 25,000 and move down very slowly and only if needed, don't offer lower than the buyer offers and do not accept less than 22,500 be friendly but firm",True,True,True,True,False,False,True,False,distributive,high,yes,yes,neutral,,
67924313eb24f3a077d26376,prompt,seller,"Try and stay firm yet polite on the price.  This car is basically brand new and I will not entertain any low-ball offers.  23,500 is a fair price but I am willing to go as low as $22,500 but do not let them know that.  If they start around $20,000 be polite but decline but offer give them a reason to counteroffer with a higher number.  Also the sooner someone can come to me with cash in hand, the better and would definitely entertain even if not at my asking price.",True,True,True,True,True,True,True,True,mixed,high,yes,yes,conceal,,
67a3d7630e4bb8e956829fca,prompt,buyer,"I don't like this car. I live in Florida. I want a white car. Because of the sun and heat. Please find me a white car around $20,000.",False,False,False,False,False,True,False,False,distributive,moderate,no,no,neutral,,
67c0b00f366cea0441141661,prompt,buyer,"Offer a firm price of $20,000, buit know that we are willing to go up without saying that. If they resist, go up in $500 increments but don't go over $21,500. Use the info that the car had been used for some non-personal driving to keep the price down.",False,True,True,False,False,True,True,True,distributive,moderate,yes,no,emphasize_value,,
67e055c65918b92290ec665f,prompt,buyer,"I need to get this price down to about $21,000.  I am willing to go up to 23,500 but will not go any higher and prefer to stay closer to 21,500.  I do not need bank financing and have cash on hand which will make the transaction quicker.  I am not in a super big hurry and have no problem shopping elsewhere if I can't get my price.  Please push hard to get it closer to $21,000.",False,True,True,False,False,True,True,True,distributive,moderate,yes,no,emphasize_value,,
680cf3759bbfca13d68e130a,prompt,seller,"Start at $25k.  Stress that the car is in extremely good condition, better than the buyer can expect for this price.  Take the attitude that you don't really care if they buy it or not, you're not desperate to sell unless your price is met, or close.",True,False,False,False,False,True,True,False,distributive,high,no,no,emphasize_value,,
697cfc324ea85aa42cfe2d1e,prompt,buyer,I want to pay about 21500 but no more than 23500.  Cash payment. Use a take it or we'll walk away type of negotiation,False,False,True,False,False,False,True,False,distributive,moderate,yes,no,neutral,,
6985d2c030e6415f9dc00e00,prompt,buyer,"Start low, at 20 then see where they counter offer, if they come in above 24 on the counter offer, stop negotiating and I will find something else.",False,False,True,False,False,False,True,False,distributive,high,yes,no,neutral,,
69a7919bf933437933b1bc84,prompt,seller,"I'd like for you to really push the positives of the car, how well maintained it's been, the low mileage, the reliability of the car. I would like to get to asking price so keep pushing the great things about the car. Be kind, but firm and always positive in negotiating. I will only go 500 below asking price.",True,True,True,True,False,True,True,False,distributive,high,yes,yes,emphasize_value,,
69c3c3cbb3e057fd06dd2fe0,prompt,buyer,"I can spend up to $23,500 for the car, but I'd like to get it for more like $21,500 if possible. I'd like to nail this down today, as I need the car quickly. Be sure not to go over the price I stipulated.",False,False,True,False,True,False,True,False,distributive,moderate,yes,no,neutral,,
69eaff58bafbcb01fc573d58,prompt,buyer,"Be courteous and respectful first and foremost. Be sure to take in mind my financial goal and limits, no more than the $23,000 but I am aiming for $21,500. I want to make sure the listing is accurate and to disclose as much detail about the car as possible. If they refuse to give anymore details or try to increase price, push back.",False,False,True,True,False,False,True,False,integrative,moderate,yes,yes,emphasize_value,,
69ee4e7f959b7d205d54bb0b,prompt,buyer,just try and negotiate a very reasonable price for me,False,False,False,False,False,False,False,False,distributive,none,no,no,neutral,,
69f140935dc089bf8e145ba8,prompt,seller,"When negotiating prices, I want to focus on what the item is actually worth compared to the market. I will try to find a fair middle ground where both sides feel comfortable, but I don't agree to something if the numbers do not make sense for me. If the deal isn't reasonable, or the person lowballs me, I will walk away and wait for a better oppurtunity.",False,False,True,True,False,True,True,True,integrative,none,no,no,emphasize_value,,
